ARMARIO	BKT	ALIADA
GOGNA_O1A65	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B03	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B13	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B16	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B32	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B34	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B37	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B47	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B53	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B63	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1B79	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B80	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1B82	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_O1C02	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C38	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1C47	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M31	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M24	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1M35	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A37	BKT_GOIANIA_ONDACOM	ONDACOM
GOGNA_G1M06	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_G1C64	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A01	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A05	BKT_GOIANIA_ABILITY	ABILITY
GOGNA_O1A0G	BKT_GOIANIA_ABILITY	ABILITY
